size,density function
$\mu m$,$1/\mu m^4$
0.0,6.5709565618375904e-12
1.6355805340472216,6.5184119454083404e-12
3.29159206638451,6.4655573784373166e-12
4.968571837782292,6.412388497754275e-12
6.667079616187266,6.358900886778288e-12
8.387699053876531,6.305090022363864e-12
10.131039116839702,6.250951237707817e-12
11.897735584652764,6.1964796518820036e-12
13.688452680667751,6.1416702574085904e-12
15.503884865792315,6.086517897515642e-12
17.344758770107774,6.031017254988827e-12
19.211835269656603,5.97516281542294e-12
21.10591173984517,5.918948890349001e-12
23.02782448199332,5.8623695359448935e-12
24.97845136660999,5.805418624136142e-12
26.958714757891585,5.7480898423565195e-12
28.969584663831483,5.690376593846813e-12
31.012082189512967,5.632272092170567e-12
33.08728330110057,5.573769214759295e-12
35.19632293967743,5.514860594846653e-12
37.34039958500148,5.455538577835484e-12
39.52078027094103,5.395795215604846e-12
41.73880609380399,5.3356221970565544e-12
43.995898322101084,5.2750109087519415e-12
46.29356513437301,5.213952285563087e-12
48.63340913587285,5.152436958862079e-12
51.01713576479756,5.090455112911005e-12
53.446562613131164,5.02799647921201e-12
55.923629911207854,4.965050347302073e-12
58.45041229688695,4.90160548176567e-12
61.02913210437646,4.8376501674701856e-12
63.66217442416405,4.773172131731679e-12
66.35210424140041,4.70815859192232e-12
69.10168619663568,4.642596375144339e-12
71.91390740796555,4.576471917941652e-12
74.79200381273654,4.509771254744369e-12
77.73949241307105,4.442481637442913e-12
80.76021122717566,4.3745920405365495e-12
83.85837050255054,4.306096282790921e-12
87.03862395658257,4.236998629329858e-12
90.30617364350746,4.167323556118213e-12
93.66693594971616,4.0971350610193815e-12
97.12782010277238,4.026570370599305e-12
100.69721315470588,3.955898966269243e-12
104.38584415114724,3.885622326861527e-12
108.20833705572318,3.8166357350457565e-12
112.18600056179207,3.7504788429445154e-12
116.35181515304282,3.6896971407062254e-12
120.7592973141783,3.63830672483293e-12
125.49820521966683,3.6022538985954988e-12
130.7224160180523,3.5895076216186056e-12
136.6997309351019,3.6088725444274215e-12
143.90125431216552,3.665620424243175e-12
153.1590716989482,3.7507439783460034e-12
165.9220099217655,3.820650201010167e-12
184.5677335816231,3.772634623016593e-12
212.43968973502433,3.4553493693844973e-12
252.84340267266077,2.789791511181747e-12
306.8216095362676,1.9324450544568256e-12
371.7450186397775,1.1733142080921185e-12
442.7041179084863,6.594128113189758e-13
515.0813616906853,3.618572827065679e-13
585.7862160368945,2.009434677060021e-13
653.1096516331133,1.1496277553903975e-13
716.207410703791,6.806802537134036e-14
774.7022804904088,4.152938112718137e-14
828.4563613697974,2.5883352953729728e-14
877.4543454132827,1.632592263552968e-14
921.7462800789683,1.0341869441542576e-14
961.4199543195797,6.5469034235641045e-15
996.5876579621311,4.133416519703233e-15
1027.3799467284366,2.6047392142742558e-15
1053.9429903720616,1.643982227854293e-15
1076.4380050284938,1.0453491368661006e-15
1095.0422271413042,6.749582837489983e-16
1109.9514437652172,4.46411743221981e-16
1121.3846043839642,3.0463062458159263e-16
1129.5919024175168,2.146499613845232e-16
1134.8699481288,1.5352994912011523e-16
1137.596026538381,1.0312417990633729e-16
1138.3747916823754,0
1228.3747916823754,0.0
1229.3747916823754,6.730167004065556e-15
1230.3747916823754,1.2751895376124212e-14
1231.3747916823754,1.8065185116175966e-14
1232.3747916823754,2.2670036224220822e-14
1233.3747916823754,2.6566448700258777e-14
1234.3747916823754,2.9754422544289833e-14
1235.3747916823754,3.2233957756313987e-14
1236.3747916823754,3.4005054336331244e-14
1237.3747916823754,3.50677122843416e-14
1238.3747916823754,3.5421931600345055e-14
1239.3747916823754,3.506771228434161e-14
1240.3747916823754,3.400505433633126e-14
1241.3747916823754,3.2233957756313987e-14
1242.3747916823754,2.9754422544289833e-14
1243.3747916823754,2.6566448700258777e-14
1244.3747916823754,2.2670036224220822e-14
1245.3747916823754,1.8065185116175966e-14
1246.3747916823754,1.2751895376124212e-14
1247.3747916823754,6.730167004065556e-15
1248.3747916823754,0.0
